tipologia_empresa,risk_data_date,fiscal_province_desc,risk_segment_id,cnae_codigo,puntuacion_intrinseca,puntuacion_comparable,xti_marcacoh,latitud,longitud,customer_id_codificado
PYME,2023-12-31,BARCELONA,03,41,39.816,590.45456104,0.0,41.3900000,2.1400000,702014933
PYME,2024-12-31,CORDOBA,03,85,47.75,602.3659942500001,0.0,37.8800000,-4.7900000,649727528
PYME,2023-12-31,PONTEVEDRA,03,43,42.47,594.4390510500001,0.0,42.5200000,-8.8200000,861259118
PYME,2024-12-31,LLEIDA,01,01,61.58,633.03206762,0.0,42.4000000,0.7400000,598576549
PYME,2024-12-31,BIZKAIA,01,45,73.62,673.10406518,0.0,43.3100000,-2.9800000,306530175
PYME,2024-12-31,BARCELONA,03,70,69.83,635.51502945,1.0,41.4000000,2.1600000,997207570
PYME,2023-12-31,TOLEDO,03,47,70.24,636.1305686000001,0.0,39.9600000,-4.8300000,632640534
PYME,2024-12-31,MALAGA,03,47,56.53,615.5475399500001,0.0,36.5500000,-4.6200000,963929659
PYME,2023-12-31,TARRAGONA,01,41,61.69,633.39817391,0.0,41.1400000,1.1100000,649379682
PYME,2024-12-31,PONTEVEDRA,01,41,70.69,663.35232491,0.0,42.4000000,-8.6900000,404759218
PYME,2024-12-31,ALMERIA,01,86,59.66,626.64184874,0.0,36.7500000,-3.0100000,295510373
PYME,2024-12-31,SEVILLA,03,56,45.93,599.6336009500001,0.0,37.3900000,-5.9900000,116241511
PYME,2024-12-31,ALICANTE,04,46,62.77,612.0792474,0.0,38.5100000,-0.2300000,658232205
PYME,2024-12-31,CASTELLON,01,95,70.51,662.75324189,0.0,39.9400000,-0.1000000,962504715
PYME,2023-12-31,VALLADOLID,02,87,43.8,571.9031744,0.0,41.6600000,-4.7500000,641634641
PYME,2024-12-31,MADRID,03,46,65.99,629.74997985,0.0,40.3700000,-3.7500000,844734811
PYME,2023-12-31,TENERIFE,01,56,78.57,689.57884823,0.0,28.4700000,-16.2700000,244761962
PYME,2024-12-31,MADRID,03,69,77.82,647.5105363,0.0,40.4900000,-3.6900000,670041245
PYME,2023-12-31,BARCELONA,01,85,65.54,646.2118940600001,0.0,41.5700000,2.0100000,960541857
PYME,2023-12-31,CADIZ,03,62,74.17,642.03073655,0.0,36.1300000,-5.4600000,909783316
PYME,2024-12-31,CANTABRIA,01,18,71.37,665.61552743,0.0,43.4600000,-3.8400000,244384173
PYME,2024-12-31,MADRID,03,47,59.88,620.5769452000001,0.0,40.7100000,-3.9900000,175468168
PYME,2023-12-31,BARCELONA,02,46,71.64,677.26443392,0.0,41.6300000,1.8600000,395513784
PYME,2024-12-31,MADRID,03,41,69.03,634.31397745,1.0,40.4700000,-3.6600000,881234416
PYME,2023-12-31,ALICANTE,01,39,70.07,661.28881673,0.0,38.3500000,-0.5000000,253203999
PYME,2024-12-31,ZARAGOZA,01,68,46.37,582.40955243,0.0,41.6400000,-0.8800000,310821295
PYME,2024-12-31,CIUDAD REAL,02,49,45.88,579.77499264,0.0,39.4000000,-3.1300000,645034291
PYME,2023-12-31,TENERIFE,01,41,77.82,687.08266898,0.0,28.4700000,-16.2500000,924196569
PYME,2023-12-31,BARCELONA,01,69,57.82,620.51788898,0.0,41.3900000,2.1400000,702448180
PYME,2023-12-31,BARCELONA,03,49,51.61,608.16107015,0.0,41.5400000,2.4200000,135832261
PYME,2024-12-31,SEVILLA,02,46,54.09,610.84596752,0.0,37.1200000,-6.0900000,192696331
PYME,2024-12-31,GIRONA,01,43,59.73,626.87482547,0.0,41.7900000,3.0500000,340963186
PYME,2023-12-31,VALENCIA,03,46,71.7,638.3224885000001,0.0,39.4900000,-0.3800000,479233674
PYME,2024-12-31,GIRONA,03,68,66.203,630.0697599450001,0.0,42.2700000,2.9600000,550942171
PYME,2023-12-31,LUGO,01,78,57.31,618.82048709,0.0,43.5500000,-7.4400000,408004889
PYME,2024-12-31,A CORUÑA,01,64,59.03,624.54505817,0.0,43.1500000,-8.9600000,974199229
PYME,2024-12-31,A CORUÑA,06,01,82.24,684.0982308,0.0,42.9400000,-8.2000000,114792330
PYME,2024-12-31,MADRID,01,86,63.89,640.7202997100001,0.0,40.4000000,-3.7100000,805365271
PYME,2024-12-31,MADRID,03,66,46.4,600.3392190000001,1.0,40.4600000,-3.6300000,492901162
PYME,2023-12-31,MADRID,03,45,77.28,646.6998262000001,0.0,40.4000000,-3.7400000,184568662
PYME,2023-12-31,ALICANTE,03,43,51.75,608.37125425,0.0,38.3800000,-0.7200000,977953462
PYME,2023-12-31,SEVILLA,03,86,69.31,634.73434565,0.0,37.4000000,-5.9500000,814285553
PYME,2023-12-31,BADAJOZ,02,01,65.39,653.61113392,0.0,38.3000000,-6.3100000,985011535
PYME,2023-12-31,CIUDAD REAL,06,69,80.04,679.5221868,0.0,38.9900000,-3.9300000,154184842
PYME,2023-12-31,BARCELONA,03,96,81.047,652.355279805,0.0,41.5400000,2.1000000,190329864
PYME,2023-12-31,LAS PALMAS,02,47,62.34,642.06832352,0.0,27.9300000,-15.4100000,635054416
PYME,2024-12-31,A CORUÑA,01,43,79.36,692.2081570400001,0.0,43.3400000,-8.4300000,569554471
PYME,2024-12-31,ILLES BALEARS,02,41,50.71,598.05426288,0.0,39.9100000,3.0800000,771621613
PYME,2024-12-31,LLEIDA,01,46,57.29,618.75392231,0.0,41.5900000,0.6000000,280970739
PYME,2023-12-31,ALBACETE,02,46,65.37,653.53544336,0.0,39.1000000,-1.8700000,111329551
PYME,2024-12-31,BARCELONA,01,46,57.13,618.2214040700001,0.0,41.3300000,2.0400000,407797204
PYME,2023-12-31,ILLES BALEARS,01,96,57.1,618.1215569000001,0.0,39.5700000,2.6300000,574092858
PYME,2023-12-31,MADRID,03,99,82.27,654.19138805,0.0,40.4200000,-3.6900000,128211046
PYME,2023-12-31,MADRID,01,45,81.55,699.49700045,0.0,40.5400000,-3.6500000,765403573
PYME,2024-12-31,TARRAGONA,01,01,78.23,688.44724697,0.0,41.0500000,0.5700000,777681125
PYME,2024-12-31,MADRID,03,41,38.278,588.1455385700001,0.0,40.2300000,-3.7700000,767350296
PYME,2024-12-31,BARCELONA,01,69,81.62,699.7299771800001,0.0,41.4300000,1.7800000,447891746
PYME,2024-12-31,CADIZ,03,82,68.1,632.9177545,0.0,36.3500000,-5.8200000,800745860
PYME,2024-12-31,BADAJOZ,03,68,79.37,649.83757455,0.0,38.5600000,-6.3500000,189135524
PYME,2024-12-31,TARRAGONA,01,41,60.49,629.40428711,0.0,40.7200000,0.7200000,409541989
PYME,2023-12-31,BARCELONA,03,69,60.442,621.42068423,0.0,41.4100000,2.1800000,770104396
PYME,2024-12-31,A CORUÑA,01,56,49.64,593.29289396,1.0,42.8800000,-8.5500000,564393388
PYME,2024-12-31,MALAGA,03,70,43.28,595.6551162000001,0.0,36.5000000,-4.6900000,473899748
PYME,2024-12-31,MADRID,02,49,60.27,634.23435056,0.0,42.8900000,-8.4900000,914552639
PYME,2024-12-31,CUENCA,02,46,56.68,620.64789504,0.0,39.4500000,-2.6700000,225034043
PYME,2023-12-31,A CORUÑA,01,74,71.57,666.2811752299999,0.0,42.8600000,-8.5000000,414926903
PYME,2024-12-31,A CORUÑA,02,25,81.03,712.80115184,0.0,43.2800000,-8.6500000,997696621
PYME,2024-12-31,MALAGA,03,68,54.63,612.6950414500001,0.0,36.5200000,-4.9200000,441768249
PYME,2023-12-31,ALICANTE,01,70,67.22,651.8033355800001,0.0,38.4800000,-0.7800000,874032639
PYME,2023-12-31,SEVILLA,01,45,71.86,667.2463645400001,0.0,36.9800000,-5.9500000,946942248
PYME,2023-12-31,BARCELONA,01,26,79.13,691.44266207,0.0,41.3700000,2.0700000,311018297
PYME,2023-12-31,VALENCIA,03,85,61.837,623.5150186550001,0.0,39.4900000,-0.3600000,633405377
PYME,2024-12-31,BARCELONA,02,68,55.41,615.84154448,0.0,41.6500000,2.7000000,246128938
PYME,2023-12-31,MADRID,03,47,65.18,628.5339147000001,0.0,40.4400000,-3.6800000,494928226
PYME,2023-12-31,SEVILLA,01,46,49.61,593.19304679,0.0,37.3400000,-6.2100000,162610871
PYME,2023-12-31,MALAGA,03,56,60.98,622.2283917000001,0.0,36.7000000,-4.4600000,872928489
PYME,2024-12-31,BARCELONA,02,33,83.61,722.56523408,0.0,41.7200000,1.8500000,392446987
PYME,2024-12-31,SEVILLA,03,47,83.54,656.0980581000001,0.0,37.4000000,-5.9800000,671936146
PYME,2024-12-31,MADRID,01,68,80.9,697.3336451,0.0,40.4400000,-3.5500000,678961235
PYME,2023-12-31,CADIZ,03,47,51.16,607.4854784,0.0,36.5300000,-6.2900000,851507143
PYME,2023-12-31,PONTEVEDRA,01,45,50.35,595.65594365,0.0,42.6600000,-8.1100000,724848049
PYME,2024-12-31,MALAGA,01,86,67.83,653.83356137,0.0,36.5200000,-4.8600000,457739887
PYME,2024-12-31,CADIZ,03,71,60.85,622.03322075,0.0,36.7000000,-6.1300000,975599856
PYME,2023-12-31,MADRID,03,82,67.53,632.0620049500001,0.0,40.4000000,-3.6800000,744416864
PYME,2023-12-31,GIRONA,04,69,89.49,667.6573817999999,0.0,41.7900000,3.0200000,258865426
PYME,2024-12-31,A CORUÑA,01,56,74.88,677.29764632,0.0,42.8800000,-8.5500000,354408246
PYME,2024-12-31,MALAGA,02,49,46.74,583.02968672,0.0,36.7100000,-4.5700000,835018801
PYME,2023-12-31,BARCELONA,03,47,56.01,614.7668561500001,0.0,41.2200000,1.7300000,122281634
PYME,2023-12-31,GRANADA,01,47,51.96,601.01440844,0.0,37.1200000,-3.5900000,507972180
PYME,2023-12-31,ALMERIA,01,47,74.94,677.49734066,0.0,36.8700000,-2.5000000,473462147
PYME,2023-12-31,JAEN,04,69,58.3,602.781558,0.0,38.1000000,-3.6300000,159399554
PYME,2023-12-31,LLEIDA,03,96,61.89,623.5945883500001,0.0,41.6400000,0.6300000,516817726
PYME,2024-12-31,PONTEVEDRA,01,49,42.49,569.49598511,0.0,42.1600000,-8.6100000,904847098
PYME,2024-12-31,BARCELONA,02,49,73.71,685.09840688,0.0,41.3400000,2.1300000,500977430
PYME,2024-12-31,BARCELONA,01,45,76.7,683.3550413,0.0,41.4400000,2.2300000,819167468
PYME,2024-12-31,VALENCIA,01,71,72.38,668.9770488199999,0.0,39.4700000,-0.3400000,984274514
PYME,2024-12-31,JAEN,01,69,59.67,626.67513113,0.0,37.7700000,-3.7900000,640313075
PYME,2023-12-31,ILLES BALEARS,01,41,61.79,633.73099781,0.0,39.5700000,2.6400000,872540405
PYME,2024-12-31,ALMERIA,02,41,65.49,653.98958672,0.0,36.8500000,-2.4500000,773269403
PYME,2024-12-31,MADRID,06,63,84.59,688.9862777999999,0.0,40.5100000,-3.9100000,302896642
PYME,2024-12-31,BARCELONA,04,43,73.03,633.4202526,0.0,41.7300000,1.8200000,328135070
PYME,2023-12-31,MADRID,04,47,57.22,600.5351364,0.0,40.3100000,-3.7300000,908301516
PYME,2024-12-31,BARCELONA,01,70,43.66,573.39002474,1.0,41.4000000,2.1600000,706075802
PYME,2023-12-31,BARCELONA,01,56,52.64,603.27761096,0.0,41.4100000,2.2200000,888665495
PYME,2023-12-31,HUESCA,01,71,64.61,643.11663179,0.0,41.9100000,0.2000000,233559498
PYME,2023-12-31,LAS PALMAS,01,46,76.67,683.2551941300001,0.0,27.7600000,-15.6800000,188225890
PYME,2024-12-31,MADRID,01,46,61.41,632.46626699,0.0,40.5500000,-3.9000000,439272582
PYME,2023-12-31,MADRID,02,56,70.93,674.57741904,0.0,40.4200000,-3.7000000,592154120
PYME,2024-12-31,CADIZ,03,70,60.485,621.4852407750001,0.0,36.1300000,-5.4600000,235027551
PYME,2023-12-31,MADRID,01,56,75.99,680.99199161,0.0,40.4200000,-3.7100000,461162575
PYME,2023-12-31,MADRID,03,45,72.52,639.5535668,0.0,40.4800000,-3.7400000,952055463
PYME,2024-12-31,ALICANTE,01,56,60.76,630.30291164,0.0,38.4800000,-0.7700000,116725393
PYME,2023-12-31,MALAGA,01,41,72.44,669.17674316,0.0,36.7400000,-4.1000000,168025061
PYME,2024-12-31,HUESCA,01,49,71.22,665.11629158,0.0,42.1900000,0.3400000,673504787
PYME,2024-12-31,MADRID,03,47,52.74,609.8575561,0.0,40.5000000,-3.7100000,487750539
PYME,2023-12-31,VALENCIA,03,85,74.389,642.359524535,0.0,39.4900000,-0.3500000,188806330
PYME,2024-12-31,MADRID,03,70,65.53,629.05937495,0.0,40.4400000,-3.6900000,300341059
PYME,2024-12-31,MURCIA,01,47,76.88,683.95412432,0.0,38.4800000,-1.3200000,116500754
PYME,2024-12-31,BARCELONA,01,29,81.71,700.02951869,0.0,41.3800000,2.1300000,417952818
PYME,2023-12-31,MADRID,04,86,66.98,620.8361316,0.0,40.4000000,-3.6700000,921695988
PYME,2024-12-31,MADRID,03,93,70.13,635.9654239500001,0.0,40.4800000,-3.7200000,360852014
PYME,2023-12-31,BARCELONA,01,69,65.51,646.11204689,0.0,41.6000000,2.1900000,781987594
PYME,2023-12-31,CORDOBA,01,47,64.48,642.68396072,0.0,37.8000000,-5.1100000,572954017
PYME,2023-12-31,A CORUÑA,01,18,78.24,688.48052936,0.0,43.3400000,-8.4000000,670896642
PYME,2023-12-31,BARCELONA,01,46,57.86,620.65101854,0.0,41.2800000,1.9800000,820480045
PYME,2023-12-31,MADRID,03,43,73.21,640.58947415,0.0,40.3600000,-3.6900000,895446812
PYME,2024-12-31,MADRID,01,47,58.6,623.1139154,0.0,40.2800000,-4.0200000,881396325
PYME,2024-12-31,CANTABRIA,01,70,42.01,567.89843039,0.0,43.4100000,-3.4100000,700843316
PYME,2023-12-31,GUADALAJARA,02,46,63.08,644.86887424,0.0,40.6300000,-3.1800000,133735667
PYME,2023-12-31,BIZKAIA,04,71,54.25,594.357477,0.0,43.2600000,-2.9300000,876091378
PYME,2024-12-31,SEVILLA,03,25,60.214,621.07838441,0.0,37.3500000,-6.1400000,110638886
PYME,2024-12-31,CASTELLON,01,45,58.99,624.41192861,0.0,40.0900000,0.1300000,665657373
PYME,2023-12-31,MALAGA,03,46,28.91,574.0812196500001,0.0,36.7000000,-4.4700000,244900951
PYME,2024-12-31,HUESCA,02,01,46.49,582.0835547199999,0.0,41.9400000,-0.3700000,733706324
PYME,2024-12-31,BIZKAIA,02,81,68.74,666.28930272,0.0,43.2600000,-2.9300000,507828146
PYME,2024-12-31,ALBACETE,01,13,70.07,661.28881673,0.0,38.6200000,-1.7300000,476064909
PYME,2024-12-31,BARCELONA,03,63,75.3,643.7272225,0.0,41.4700000,2.0800000,104580866
PYME,2024-12-31,LAS PALMAS,01,46,62.79,637.05923681,0.0,28.1100000,-15.4200000,609325337
PYME,2023-12-31,SEVILLA,03,45,63.1,625.4111795,0.0,37.3500000,-5.8400000,794006552
PYME,2024-12-31,BARCELONA,03,86,59.55,620.0815112500001,0.0,41.5500000,2.1000000,861969876
PYME,2023-12-31,TARRAGONA,01,93,64.6,643.0833494,0.0,41.1700000,1.3200000,427496594
PYME,2024-12-31,MADRID,06,68,81.81,683.2038222,0.0,40.4900000,-3.8800000,486690650
PYME,2024-12-31,VALENCIA,07,56,58.72,617.64027668,0.0,39.4700000,-0.3800000,589291945
PYME,2023-12-31,SEVILLA,01,46,67.77,653.63386703,0.0,37.3300000,-5.8300000,394212588
PYME,2023-12-31,BADAJOZ,01,49,68.8,657.0619532000001,0.0,38.9200000,-6.3600000,579305950
PYME,2024-12-31,BARCELONA,06,55,67.82,654.1043424,0.0,41.4300000,2.2400000,685320780
PYME,2024-12-31,CADIZ,03,62,70.352,636.29871588,0.0,36.1000000,-5.4600000,684284014
PYME,2024-12-31,BARCELONA,02,25,58.56,627.76280768,0.0,41.5800000,2.1800000,409297171
PYME,2024-12-31,MADRID,01,47,56.74,616.92339086,0.0,40.4900000,-3.3700000,442277798
PYME,2024-12-31,MALAGA,01,68,61.07,631.33466573,0.0,36.7500000,-3.8800000,146857707
PYME,2023-12-31,A CORUÑA,03,56,57.03,616.2981974500001,0.0,43.2700000,-8.3200000,873438211
PYME,2023-12-31,PONTEVEDRA,01,78,59.87,627.3407789299999,0.0,42.5900000,-8.7700000,707927945
PYME,2023-12-31,MADRID,01,58,75.5,679.3611545,0.0,40.4900000,-3.8900000,413931347
PYME,2023-12-31,CADIZ,01,23,67.44,652.53554816,0.0,36.1500000,-5.4700000,448198686
PYME,2023-12-31,BARCELONA,02,46,65.53,654.14096784,0.0,41.4400000,2.2400000,551018953
PYME,2023-12-31,PONTEVEDRA,01,49,67.89,654.03325571,0.0,42.2200000,-8.7400000,949488730
PYME,2023-12-31,MADRID,03,28,54.241,612.111029915,0.0,40.4400000,-3.6400000,475183983
PYME,2024-12-31,MALAGA,01,49,61.85,633.93069215,0.0,36.7100000,-4.4500000,496218625
PYME,2023-12-31,MADRID,02,43,69.49,669.1276987199999,0.0,40.1600000,-3.6200000,291302336
PYME,2023-12-31,BIZKAIA,01,33,79.5,692.6741105,0.0,43.2400000,-2.8000000,132976675
PYME,2024-12-31,MADRID,03,56,76.26,645.1684849000001,0.0,40.4000000,-3.7100000,866667676
PYME,2024-12-31,BARCELONA,01,94,74.06,674.56849034,0.0,41.4300000,2.1800000,613095772
PYME,2024-12-31,JAEN,04,43,60.7,607.773606,0.0,38.0900000,-3.6300000,559677112
PYME,2024-12-31,ASTURIAS,02,47,73.91,685.8553124800001,0.0,43.5200000,-5.6800000,421226444
PYME,2023-12-31,SEVILLA,03,45,48.57,603.59707255,0.0,37.3800000,-6.0000000,358494790
PYME,2023-12-31,BARCELONA,03,56,68.07,632.87271505,0.0,41.6200000,2.6700000,810458738
PYME,2024-12-31,LLEIDA,01,43,49.55,592.99335245,0.0,41.6100000,0.6300000,232262144
PYME,2023-12-31,MADRID,07,70,74.55,645.87654845,0.0,40.4400000,-3.6700000,246851720
PYME,2023-12-31,VALENCIA,01,52,55.54,612.92950406,1.0,39.5800000,-0.3500000,825026942
PYME,2023-12-31,BARCELONA,03,46,54.65,612.7250677500001,0.0,41.5800000,2.4800000,334619499
PYME,2023-12-31,TENERIFE,02,43,42.76,567.96726528,0.0,28.4600000,-16.3200000,357893674
PYME,2023-12-31,BARCELONA,01,41,63.47,639.32243933,0.0,41.3500000,1.7000000,327233709
PYME,2024-12-31,BIZKAIA,03,46,55.54,614.0612381000001,0.0,43.3000000,-2.9300000,216031169
PYME,2023-12-31,ILLES BALEARS,01,63,65.18,645.01372802,0.0,39.5700000,3.2100000,493761504
PYME,2023-12-31,GIRONA,03,46,42.91,595.09962965,1.0,41.9700000,2.8200000,741672040
PYME,2024-12-31,BARCELONA,04,25,77.6,642.925944,0.0,41.5500000,2.1200000,543302398
PYME,2024-12-31,MADRID,03,46,41.592,593.12089648,0.0,40.4400000,-3.6900000,486635631
PYME,2023-12-31,MADRID,01,56,58.37,622.34842043,0.0,40.4100000,-3.7100000,234588348
PYME,2024-12-31,PONTEVEDRA,01,46,71.05,664.55049095,0.0,42.5900000,-8.7700000,126770048
PYME,2024-12-31,LAS PALMAS,01,50,58.07,621.34994873,0.0,28.5000000,-13.8700000,161148147
PYME,2024-12-31,BARCELONA,01,81,56.21,615.15942419,0.0,41.4100000,1.9600000,701802970
PYME,2023-12-31,CORDOBA,01,49,82.23,701.76020297,0.0,37.4100000,-4.4800000,288327390
PYME,2023-12-31,MADRID,03,43,59.56,620.0965244,0.0,40.4200000,-3.5500000,339407327
PYME,2023-12-31,BARCELONA,01,46,76.16,681.55779224,0.0,41.5300000,2.4400000,737334010
PYME,2024-12-31,SEVILLA,03,69,80.12,650.9635608000001,0.0,37.3800000,-6.0000000,519671690
PYME,2024-12-31,MADRID,01,62,55.49,612.76309211,0.0,40.3400000,-3.8300000,866994160
PYME,2024-12-31,BARCELONA,01,45,70.7,663.3856073000001,0.0,41.5400000,1.9000000,578484173
PYME,2024-12-31,MALAGA,02,43,65.34,653.42190752,0.0,36.4800000,-5.1600000,541622366
PYME,2024-12-31,BARCELONA,01,46,69.09,658.02714251,0.0,41.9400000,2.2600000,727544922
PYME,2024-12-31,BARCELONA,04,70,85.65,659.670105,0.0,41.4700000,2.0800000,648851144
PYME,2023-12-31,TENERIFE,03,56,79.97,650.73836355,0.0,28.8000000,-17.7800000,494984806
PYME,2023-12-31,ZAMORA,01,69,69.96,660.92271044,0.0,41.5100000,-5.7400000,394910067
PYME,2023-12-31,MALAGA,03,56,70.51,636.5359236500001,0.0,36.5100000,-4.8900000,335527917
PYME,2024-12-31,BARCELONA,03,41,51.63,608.19109645,1.0,41.5300000,2.1200000,435986562
PYME,2024-12-31,BARCELONA,01,82,66.79,650.37219281,0.0,41.4000000,2.1400000,302786321
PYME,2024-12-31,ALICANTE,01,49,55.07,611.36523173,0.0,38.8400000,-0.1100000,795895651
PYME,2023-12-31,ARABA/ALAVA,02,28,43.14,569.4053859200001,0.0,43.1500000,-2.9900000,301113478
PYME,2023-12-31,TOLEDO,02,23,61.81,640.06252368,0.0,39.9000000,-4.2300000,655216375
PYME,2023-12-31,MADRID,01,85,58.82,623.84612798,0.0,40.4600000,-3.6500000,766048247
PYME,2024-12-31,A CORUÑA,01,52,63.72,640.15449908,0.0,43.3600000,-8.4000000,386919117
PYME,2023-12-31,TENERIFE,04,56,85.94,660.2733108,0.0,28.0700000,-16.7300000,353033850
PYME,2024-12-31,NAVARRA,03,90,57.71,617.31909165,0.0,42.0600000,-1.6000000,937409018
PYME,2023-12-31,CADIZ,01,86,74.4,675.7000916000001,0.0,36.1100000,-5.4400000,218230087
PYME,2024-12-31,BARCELONA,02,28,40.07,557.78688496,1.0,41.5700000,2.0300000,166163923
PYME,2023-12-31,MADRID,03,46,61.532,623.0571175800001,0.0,40.4300000,-3.6800000,685139271
PYME,2023-12-31,ALBACETE,01,01,74.92,677.43077588,0.0,38.5100000,-1.6900000,443920220
PYME,2023-12-31,TENERIFE,01,46,75.71,680.0600846899999,0.0,28.4600000,-16.2600000,732710525
PYME,2023-12-31,MADRID,01,68,64.98,644.34808022,0.0,40.2900000,-3.8000000,714236562
PYME,2024-12-31,PONTEVEDRA,01,31,61.44,632.56611416,0.0,41.9000000,-8.8700000,864481471
PYME,2023-12-31,CIUDAD REAL,02,46,58.76,628.51971328,0.0,39.1200000,-3.3500000,629583236
PYME,2023-12-31,MADRID,06,45,60.03,637.9009866,0.0,40.1900000,-3.6800000,706996720
