edad;sexo;febpol_ult;fefe_ult;terri;canal;Polizas_cia;Renta;Geo_Medio; PMf ;igaract;PM_i;igaract_i;Rescates;Rescates_X;Parciales;fefe1;fnac1;febpol1;ypol;response
52;2;0;20230921;2;4;Multipoliza;28510;5; 10,470 ;2.5;10273.14;2.7;0;0;Sin Rescates Parciales;2023;1973;0;2;0
66;2;0;20230925;2;4;Monopoliza;26253;5; 18,916 ;2.5;18540.71;2.7;0;0;Sin Rescates Parciales;2023;1959;0;2;0
51;2;0;20230929;4;6;Multipoliza;38224;6; 5,232 ;2.5;5133.64;2.7;0;0;Sin Rescates Parciales;2023;1974;0;2;0
58;1;20251003;20231003;9;3;Multipoliza;32154;8; 10,487 ;2.8;10292.03;2.7;10488.75;0;Sin Rescates Parciales;2023;1967;2025;2;1
60;1;0;20231005;4;4;Multipoliza;25045;7; 42,122 ;2.5;41351.28;2.7;0;0;Sin Rescates Parciales;2023;1965;0;2;0
54;2;0;20230828;10;4;Multipoliza;19999;7; 2,716 ;2.5;2672.25;2.7;0;0;Sin Rescates Parciales;2023;1971;0;2;0
74;2;0;20231016;3;4;Multipoliza;23865;4; 43,099 ;2.5;42183.96;2.7;0;0;Sin Rescates Parciales;2023;1951;0;2;0
34;2;20251014;20231113;4;6;Monopoliza;27204;5; 4,137 ;2.5;3074.64;2.55;4139.51;0;Sin Rescates Parciales;2023;1991;2025;2;1
45;1;0;20231121;1;4;Multipoliza;27968;7; 6,277 ;2.5;6145.96;2.55;0;0;Sin Rescates Parciales;2023;1980;0;2;0
54;1;20251121;20231121;5;4;Multipoliza;28543;8; 26,077 ;2.5;25620.38;2.55;26111.91;0;Sin Rescates Parciales;2023;1971;2025;2;1
70;1;0;20231220;4;4;Multipoliza;21395;9; 26,131 ;2.5;25576.56;2.55;0;0;Sin Rescates Parciales;2023;1955;0;2;0
70;2;0;20231219;2;4;Multipoliza;37124;8; 25,977 ;2.5;25501.64;2.55;0;0;Sin Rescates Parciales;2023;1955;0;2;0
78;1;0;20231227;4;4;Multipoliza;24005;3; 10,438 ;2.5;10221.3;2.55;0;0;Sin Rescates Parciales;2023;1947;0;2;0
49;2;20250103;20240103;4;2;Multipoliza;24821;4; 25,506 ;2.55;25505.64;2.55;25505.19;25505.19;Sin Rescates Parciales;2024;1976;2025;1;1
55;1;0;20240103;4;4;Multipoliza;23994;10; 3,112 ;2.5;3056.52;2.55;0;0;Sin Rescates Parciales;2024;1970;0;1;0
83;1;20250120;20240118;3;6;Multipoliza;21412;8; 61,237 ;2.7;61236.93;2.7;61311.3;61311.3;Sin Rescates Parciales;2024;1942;2025;1;1
34;1;20250205;20240205;5;4;Multipoliza;27192;7; 25,516 ;2.7;25471.75;2.7;25517.12;25517.12;Sin Rescates Parciales;2024;1991;2025;1;1
23;2;0;20240207;4;2;Monopoliza;28619;7; 9,375 ;2.5;9180.15;2.7;0;0;Sin Rescates Parciales;2024;2002;0;1;0
77;1;0;20240215;3;2;Multipoliza;20215;6; 23,638 ;3.1;23024.79;3.1;0;0;Sin Rescates Parciales;2024;1948;0;1;0
56;1;0;20240223;1;6;Monopoliza;22000;9; 3,110 ;2.5;3051.46;2.7;0;0;Sin Rescates Parciales;2024;1969;0;1;0
19;1;0;20240304;1;4;Monopoliza;22000;9; 10,401 ;2.5;10184.99;2.7;0;0;Sin Rescates Parciales;2024;2006;0;1;0
43;1;0;20240306;4;4;Multipoliza;26978;8; 8,334 ;2.5;8152.94;2.7;0;0;Sin Rescates Parciales;2024;1982;0;1;0
70;1;0;20240308;1;4;Multipoliza;22000;7; 1,042 ;2.5;1018.97;2.7;0;0;Sin Rescates Parciales;2024;1955;0;1;0
57;2;0;20240308;1;4;Multipoliza;22000;3; 46,910 ;2.5;45870.24;2.7;0;0;Sin Rescates Parciales;2024;1968;0;1;0
76;2;0;20240305;1;4;Multipoliza;22000;7; 7,359 ;2.5;7220.81;2.7;0;0;Sin Rescates Parciales;2024;1949;0;1;0
78;2;0;20240311;1;4;Multipoliza;24838;9; 125,268 ;2.5;122382.58;2.7;0;0;Sin Rescates Parciales;2024;1947;0;1;0
27;1;20250313;20240313;4;6;Monopoliza;18688;11; 10,223 ;2.7;10186.09;2.7;10232.28;10232.28;Sin Rescates Parciales;2024;1998;2025;1;1
67;2;0;20240301;2;2;Monopoliza;31256;7; 31,920 ;2.5;32458;2.7;1200;1200;Sin Rescates Parciales;2024;1958;0;1;0
68;2;0;20240315;2;4;Multipoliza;25671;8; 10,411 ;2.5;10184.62;2.7;0;0;Sin Rescates Parciales;2024;1957;0;1;0
57;1;0;20240312;1;4;Multipoliza;22000;10; 1,041 ;2.5;1018.67;2.7;0;0;Sin Rescates Parciales;2024;1968;0;1;0
61;1;0;20240320;1;4;Multipoliza;22000;5; 15,611 ;2.5;15271.49;2.7;0;0;Sin Rescates Parciales;2024;1964;0;1;0
67;2;0;20240321;9;3;Monopoliza;26978;6; 8,339 ;2.5;8153.01;2.7;0;0;Sin Rescates Parciales;2024;1958;0;1;0
50;1;20260327;20240327;4;4;Multipoliza;55885;8; 208,542 ;2.5;203738.26;2.7;0;0;Sin Rescates Parciales;2024;1975;2026;1;0
56;1;0;20240401;10;4;Multipoliza;20726;8; 6,241 ;2.5;6105.06;2.7;0;0;Sin Rescates Parciales;2024;1969;0;1;0
70;1;0;20240404;10;4;Multipoliza;28133;7; 10,426 ;2.8;10199.76;3.25;0;0;Sin Rescates Parciales;2024;1955;0;1;0
66;2;0;20240405;4;2;Monopoliza;38224;6; 41,663 ;2.8;40781.37;3.25;0;0;Sin Rescates Parciales;2024;1959;0;1;0
49;1;20250409;20240409;4;2;Multipoliza;24821;4; 107,667 ;2.8;107082.85;3.25;107706.51;0;Sin Rescates Parciales;2024;1976;2025;1;1
82;1;0;20240416;10;6;Multipoliza;20379;7; 15,597 ;2.8;15273.66;3.25;0;0;Sin Rescates Parciales;2024;1943;0;1;0
52;1;0;20240416;4;3;Multipoliza;21003;8; 104,740 ;2.8;102126.42;3.25;0;0;Sin Rescates Parciales;2024;1973;0;1;0
54;1;0;20240416;4;6;Multipoliza;25546;9; 52,290 ;2.8;51030.51;3.25;0;0;Sin Rescates Parciales;2024;1971;0;1;0
58;1;0;20240417;4;6;Multipoliza;38224;6; 5,225 ;2.8;5100.97;3.25;0;0;Sin Rescates Parciales;2024;1967;0;1;0
53;1;0;20240423;2;4;Multipoliza;32969;5; 10,444 ;2.8;10196.7;3.25;0;0;Sin Rescates Parciales;2024;1972;0;1;0
62;1;0;20240425;10;4;Multipoliza;24322;7; 104,659 ;2.8;102047.41;3.25;0;0;Sin Rescates Parciales;2024;1963;0;1;0
58;2;0;20240430;4;6;Multipoliza;26978;6; 15,656 ;2.8;15285.84;3.25;0;0;Sin Rescates Parciales;2024;1967;0;1;0
77;2;0;20240502;16;null;null;26758;4; 27,031 ;2.8;26459.42;3.25;0;0;Sin Rescates Parciales;2024;1948;0;1;0
70;1;0;20240502;3;4;Monopoliza;29498;5; 10,389 ;2.8;10173.84;3.25;0;0;Sin Rescates Parciales;2024;1955;0;1;0
56;1;0;20240429;5;4;Multipoliza;22135;6; 3,016 ;2.8;2953.48;3.25;0;0;Sin Rescates Parciales;2024;1969;0;1;0
77;1;0;20240430;1;4;Multipoliza;29911;7; 37,099 ;2.8;36205.43;3.25;0;0;Sin Rescates Parciales;2024;1948;0;1;0
60;1;0;20240508;3;6;Multipoliza;21708;7; 104,559 ;2.8;101949.78;3.25;0;0;Sin Rescates Parciales;2024;1965;0;1;0
60;2;0;20240509;1;4;Monopoliza;22000;9; 97,267 ;2.8;119710.87;3.25;25000;0;Sin Rescates Parciales;2024;1965;0;1;0
65;1;0;20240510;1;6;Monopoliza;22000;9; 93,641 ;2.8;91578.58;3.25;0;0;Sin Rescates Parciales;2024;1960;0;1;0
70;1;20250521;20240515;2;4;Multipoliza;27366;6; 5,116 ;2.8;5081.25;3.25;5122.24;0;Sin Rescates Parciales;2024;1955;2025;1;1
85;2;20250515;20240515;4;4;Multipoliza;38224;6; 78,013 ;2.8;77397.95;3.25;78089.45;0;Sin Rescates Parciales;2024;1940;2025;1;1
53;2;0;20240521;3;4;Multipoliza;28239;9; 2,964 ;2.8;1428.11;3.25;0;0;Sin Rescates Parciales;2024;1972;0;1;0
49;1;0;20240516;1;2;Multipoliza;22000;7; 103,543 ;2.8;101263.12;3.25;0;0;Sin Rescates Parciales;2024;1976;0;1;0
62;2;0;20240522;1;4;Multipoliza;21898;11; 25,947 ;2.8;25398.02;3.25;0;0;Sin Rescates Parciales;2024;1963;0;1;0
52;2;0;20240523;4;4;Multipoliza;25546;8; 20,774 ;2.8;20322.83;3.25;0;0;Sin Rescates Parciales;2024;1973;0;1;0
60;2;20250527;20240523;10;6;Multipoliza;37974;8; 25,572 ;2.8;25395.84;3.25;24591.46;0;Sin Rescates Parciales;2024;1965;2025;1;1
79;2;0;20240529;3;4;Multipoliza;30343;3; 10,382 ;2.8;10156.17;3.25;0;0;Sin Rescates Parciales;2024;1946;0;1;0
51;1;20250530;20240530;10;4;Multipoliza;19195;9; 2,047 ;2.8;2032.24;3.25;2051.71;0;Sin Rescates Parciales;2024;1974;2025;1;1
80;2;0;20240530;2;4;Multipoliza;22539;6; 25,929 ;2.8;25380.56;3.25;0;0;Sin Rescates Parciales;2024;1945;0;1;0
52;1;20250603;20240603;10;6;Multipoliza;29247;8; 6,143 ;2.8;6090.75;3.25;6142.49;0;Sin Rescates Parciales;2024;1973;2025;1;1
58;2;0;20240605;1;4;Multipoliza;19433;11; 1,041 ;2.8;1016.48;3.25;0;0;Sin Rescates Parciales;2024;1967;0;1;0
35;1;0;20240606;3;4;Multipoliza;21708;7; 4,372 ;2.8;4268.83;3.25;0;0;Sin Rescates Parciales;2024;1990;0;1;0
69;2;20250610;20240610;1;4;Monopoliza;22000;9; 10,260 ;2.8;10160.38;3.25;10267.39;0;Sin Rescates Parciales;2024;1956;2025;1;1
21;2;0;20240613;1;4;Multipoliza;22000;7; 20,714 ;2.8;20285.07;3.25;0;0;Sin Rescates Parciales;2024;2004;0;1;0
60;1;0;20240618;3;4;Multipoliza;28704;5; 208,414 ;2.8;203214.36;3.25;0;0;Sin Rescates Parciales;2024;1965;0;1;0
66;2;0;20240614;3;4;Multipoliza;25616;5; 19,255 ;2.8;18799.86;3.25;0;0;Sin Rescates Parciales;2024;1959;0;1;0
51;2;0;20240619;4;4;Multipoliza;24293;11; 8,573 ;2.8;8395.25;3.25;0;0;Sin Rescates Parciales;2024;1974;0;1;0
56;1;0;20240621;1;4;Multipoliza;22000;5; 1,268 ;2.8;1242.12;3.25;0;0;Sin Rescates Parciales;2024;1969;0;1;0
61;1;0;20240627;16;4;Monopoliza;27479;7; 2,586 ;2.8;2532.58;3.25;0;0;Sin Rescates Parciales;2024;1964;0;1;0
55;2;0;20240627;16;4;Monopoliza;23047;8; 6,207 ;2.8;6078.2;3.25;0;0;Sin Rescates Parciales;2024;1970;0;1;0
58;2;0;20240702;1;4;Multipoliza;22000;6; 15,585 ;2.8;15216.05;3.25;0;0;Sin Rescates Parciales;2024;1967;0;1;0
57;1;0;20240703;10;4;Multipoliza;21123;6; 67,572 ;2.8;65943.75;3.25;0;0;Sin Rescates Parciales;2024;1968;0;1;0
73;2;0;20240709;5;4;Multipoliza;28543;7; 35,227 ;2.8;34447.13;3.25;0;0;Sin Rescates Parciales;2024;1952;0;1;0
64;1;0;20240717;16;null;null;26743;5; 16,590 ;2.8;16198.98;3.25;0;0;Sin Rescates Parciales;2024;1961;0;1;0
46;1;0;20240717;3;6;Multipoliza;18664;7; 5,615 ;2.8;5470.71;3.25;0;0;Sin Rescates Parciales;2024;1979;0;1;0
69;1;0;20240715;16;null;null;29873;5; 24,985 ;2.8;24397.04;3.25;0;0;Sin Rescates Parciales;2024;1956;0;1;0
51;2;0;20240716;16;4;Multipoliza;33008;6; 4,727 ;2.8;4616.08;3.25;0;0;Sin Rescates Parciales;2024;1974;0;1;0
69;2;20250725;20240725;16;null;null;25928;5; 15,356 ;3.25;15167;3.25;15379.95;0;Sin Rescates Parciales;2024;1956;2025;1;1
76;2;20250728;20240726;2;4;Multipoliza;26847;6; 20,529 ;3.25;20246.24;3.25;20571.11;0;Sin Rescates Parciales;2024;1949;2025;1;1
52;1;0;20240724;1;4;Monopoliza;22976;9; 8,290 ;2.8;8094.64;3.25;0;0;Sin Rescates Parciales;2024;1973;0;1;0
67;1;0;20240724;16;4;Multipoliza;18530;12; 10,583 ;2.8;10333.85;3.25;0;0;Sin Rescates Parciales;2024;1958;0;1;0
56;2;0;20240724;16;null;null;25564;9; 4,567 ;2.8;4459.93;3.25;0;0;Sin Rescates Parciales;2024;1969;0;1;0
69;2;0;20240801;16;4;Monopoliza;27153;9; 10,359 ;2.8;10115.46;3.25;0;0;Sin Rescates Parciales;2024;1956;0;1;0
77;1;0;20240726;16;4;Monopoliza;25167;10; 27,329 ;2.8;26679.73;3.25;0;0;Sin Rescates Parciales;2024;1948;0;1;0
65;2;0;20240713;2;2;Multipoliza;37124;7; 5,595 ;2.8;5462.74;3.25;0;0;Sin Rescates Parciales;2024;1960;0;1;0
58;1;20250804;20240802;16;4;Monopoliza;27968;7; 5,141 ;2.8;5059.94;3.25;5142.36;0;Sin Rescates Parciales;2024;1967;2025;1;1
43;2;0;20240725;16;4;Monopoliza;22000;11; 20,010 ;2.8;19539.13;3.25;0;0;Sin Rescates Parciales;2024;1982;0;1;0
57;1;20250811;20240809;3;4;Multipoliza;30343;2; 10,276 ;2.8;10113.76;3.25;10283.83;0;Sin Rescates Parciales;2024;1968;2025;1;1
61;1;0;20240807;10;4;Multipoliza;19999;10; 41,438 ;2.8;40454.36;3.25;0;0;Sin Rescates Parciales;2024;1964;0;1;0
37;1;0;20240906;3;2;Multipoliza;24655;7; 1,032 ;2.8;1008.47;3.25;0;0;Sin Rescates Parciales;2024;1988;0;1;0
67;1;0;20240912;16;4;Monopoliza;30343;2; 24,691 ;2.8;24109.4;3.25;0;0;Sin Rescates Parciales;2024;1958;0;1;0
62;1;0;20241003;4;4;Multipoliza;28290;6; 5,701 ;2.8;5550.43;3.25;0;0;Sin Rescates Parciales;2024;1963;0;1;0
63;1;0;20241009;9;4;Multipoliza;27037;8; 51,745 ;2.8;50344.55;3.25;0;0;Sin Rescates Parciales;2024;1962;0;1;0
59;2;0;20241014;1;6;Multipoliza;22000;7; 10,328 ;2.8;10062.16;3.25;0;0;Sin Rescates Parciales;2024;1966;0;1;0
52;2;0;20240919;9;3;Multipoliza;37704;6; 137,122 ;2.8;31211.93;3.25;0;0;Sin Rescates Parciales;2024;1973;0;1;0
67;1;20251009;20241002;2;4;Multipoliza;25928;7; 16,976 ;2.8;16654.68;3.25;16983.38;0;Sin Rescates Parciales;2024;1958;2025;1;1
73;2;0;20241002;1;4;Monopoliza;22000;8; 13,075 ;2.8;12767.45;3.25;0;0;Sin Rescates Parciales;2024;1952;0;1;0
67;2;0;20240930;1;6;Multipoliza;22000;9; 24,922 ;2.8;24335.09;3.25;0;0;Sin Rescates Parciales;2024;1958;0;1;0
72;2;0;20241018;4;4;Multipoliza;21368;3; 30,631 ;2.7;29896.21;2.7;0;0;Sin Rescates Parciales;2024;1953;0;1;0
71;1;0;20241022;10;4;Multipoliza;21864;8; 11,829 ;2.7;11595.24;2.7;0;0;Sin Rescates Parciales;2024;1954;0;1;0
65;2;0;20241024;1;4;Monopoliza;27968;6; 17,067 ;2.7;16707.64;2.7;0;0;Sin Rescates Parciales;2024;1960;0;1;0
39;2;0;20241030;4;5;Multipoliza;38224;8; 10,260 ;2.7;10037.54;2.7;0;0;Sin Rescates Parciales;2024;1986;0;1;0
40;1;0;20241031;4;6;Multipoliza;38224;5; 10,241 ;2.7;10033.48;2.7;0;0;Sin Rescates Parciales;2024;1985;0;1;0
69;2;0;20241029;1;6;Monopoliza;28633;1; 36,141 ;2.7;35379.95;2.7;0;0;Sin Rescates Parciales;2024;1956;0;1;0
77;2;0;20241107;4;4;Multipoliza;38224;7; 10,792 ;2.7;10533.33;2.7;0;0;Sin Rescates Parciales;2024;1948;0;1;0
62;2;0;20241109;9;3;Multipoliza;25694;6; 16,179 ;2.7;15791.25;2.7;0;0;Sin Rescates Parciales;2024;1963;0;1;0
63;2;0;20241112;16;4;Monopoliza;25521;8; 8,198 ;2.7;8025.18;2.7;0;0;Sin Rescates Parciales;2024;1962;0;1;0
59;2;0;20241113;16;null;null;27811;9; 15,882 ;2.7;15547.57;2.7;0;0;Sin Rescates Parciales;2024;1966;0;1;0
65;1;0;20241126;1;6;Multipoliza;27037;7; 76,860 ;2.7;75166.73;2.7;0;0;Sin Rescates Parciales;2024;1960;0;1;0
61;1;0;20241203;5;4;Multipoliza;22266;6; 6,655 ;2.7;10421.27;2.7;4000;0;Sin Rescates Parciales;2024;1964;0;1;0
47;2;0;20241204;4;4;Multipoliza;38224;8; 12,266 ;2.7;12023.67;2.7;0;0;Sin Rescates Parciales;2024;1978;0;1;0
64;1;20251209;20241209;4;6;Monopoliza;19743;7; 102,116 ;2.7;100160.71;2.7;102150.91;0;Sin Rescates Parciales;2024;1961;2025;1;1
67;1;20251229;20241223;4;4;Multipoliza;null;null; 5,108 ;2.7;5002.92;2.7;5118.37;0;Sin Rescates Parciales;2024;1958;2025;1;1
52;1;20251229;20241227;4;4;Multipoliza;25591;5; 107,084 ;2.7;105030.66;2.7;107274.08;0;Sin Rescates Parciales;2024;1973;2025;1;1
67;1;0;20250103;4;4;Monopoliza;38224;8; 81,953 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1958;0;0;0
65;2;20260114;20250114;4;null;null;38224;8; 30,597 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1960;2026;0;0
51;2;0;20250123;9;4;Multipoliza;22620;7; 30,633 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1974;0;0;0
49;2;0;20241121;5;4;Multipoliza;23735;6; 3,958 ;2.7;0;null;0;0;Sin Rescates Parciales;2024;1976;0;1;0
56;1;0;20250212;3;4;Multipoliza;26879;8; 40,763 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1969;0;0;0
77;2;20260213;20250213;1;null;null;27968;7; 31,461 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1948;2026;0;0
62;2;0;20250211;1;4;Monopoliza;22000;8; 60,996 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1963;0;0;0
64;1;20260217;20250217;10;4;Multipoliza;26636;6; 101,956 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1961;2026;0;0
57;1;20260310;20250310;2;null;null;26847;6; 76,374 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1968;2026;0;0
63;2;20260316;20250312;10;2;Multipoliza;22000;11; 2,030 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1962;2026;0;0
80;1;20260319;20250319;1;4;Multipoliza;22000;7; 1,017 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1945;2026;0;0
68;1;0;20250321;1;2;Multipoliza;29795;6; 25,402 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1957;0;0;0
85;2;0;20250318;1;4;Multipoliza;22000;6; 18,633 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1940;0;0;0
65;1;20260326;20250326;3;4;Monopoliza;28813;8; 34,526 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1960;2026;0;0
74;2;0;20250404;3;4;Multipoliza;26673;3; 19,340 ;2.5;0;null;0;0;Sin Rescates Parciales;2025;1951;0;0;0
21;2;20250417;20250417;2;null;null;28095;6; -   ;null;0;null;0;0;Sin Rescates Parciales;2025;2004;2025;0;1
53;1;20250417;20250417;2;6;Monopoliza;28095;6; -   ;null;0;null;0;0;Sin Rescates Parciales;2025;1972;2025;0;1
65;1;0;20250416;2;4;Multipoliza;37124;7; 50,768 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1960;0;0;0
53;1;0;20250421;2;6;Monopoliza;33982;7; 101,704 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1972;0;0;0
43;1;0;20250428;10;4;Multipoliza;19409;8; 5,078 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1982;0;0;0
53;2;0;20250508;2;2;Monopoliza;28772;8; 30,426 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1972;0;0;0
60;1;20250508;20250508;1;4;Multipoliza;22000;10; -   ;null;0;null;0;0;Sin Rescates Parciales;2025;1965;2025;0;1
46;1;0;20250508;3;4;Multipoliza;29498;7; 20,290 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1979;0;0;0
55;2;0;20250512;4;null;null;38224;7; 1,014,493 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1970;0;0;0
51;2;0;20250526;4;null;null;38224;8; 50,705 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1974;0;0;0
58;2;0;20250530;3;8;Monopoliza;30343;3; 50,602 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1967;0;0;0
57;1;0;20250529;3;4;Multipoliza;27327;7; 4,154 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1968;0;0;0
64;2;0;20250603;2;null;null;27153;10; 131,852 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1961;0;0;0
65;2;0;20250501;3;4;Monopoliza;19611;7; 61,150 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1960;0;0;0
65;1;0;20250604;3;4;Multipoliza;24655;7; 10,124 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1960;0;0;0
62;1;0;20250602;4;2;Multipoliza;38224;8; 25,972 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1963;0;0;0
48;1;20250605;20250605;3;null;null;24005;6; -   ;null;0;null;0;0;Sin Rescates Parciales;2025;1977;2025;0;1
58;1;0;20250605;1;4;Multipoliza;22000;7; 20,267 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1967;0;0;0
73;1;0;20250605;1;4;Multipoliza;22000;6; 12,189 ;3;0;null;0;0;Sin Rescates Parciales;2025;1952;0;0;0
59;1;0;20250605;3;2;Multipoliza;24655;7; 6,088 ;2.9;0;null;0;0;Sin Rescates Parciales;2025;1966;0;0;0
56;1;0;20250606;4;2;Multipoliza;38224;7; 101,403 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1969;0;0;0
60;2;0;20250604;2;4;Multipoliza;40236;8; 58,654 ;2.9;0;null;0;0;Sin Rescates Parciales;2025;1965;0;0;0
82;1;0;20250606;10;4;Multipoliza;28657;7; 101,251 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1943;0;0;0
50;1;0;20250611;10;4;Multipoliza;28543;5; 6,528 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1975;0;0;0
50;2;0;20250613;5;4;Multipoliza;22830;8; 91,172 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1975;0;0;0
49;1;0;20250617;10;4;Multipoliza;21433;12; 10,120 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1976;0;0;0
81;2;0;20250617;4;4;Multipoliza;27404;6; 10,110 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1944;0;0;0
60;2;20250624;20250624;1;4;Multipoliza;22000;8; -   ;null;0;null;0;0;Sin Rescates Parciales;2025;1965;2025;0;1
48;1;0;20250626;5;null;null;25674;6; 81,007 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1977;0;0;0
50;1;0;20250630;4;4;Multipoliza;28244;1; 2,020 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1975;0;0;0
55;1;20250702;20250702;1;null;null;22000;8; -   ;null;0;null;0;0;Sin Rescates Parciales;2025;1970;2025;0;1
72;1;0;20250702;5;6;Multipoliza;28633;6; 202,463 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1953;0;0;0
53;2;0;20250702;3;4;Multipoliza;18787;5; 5,059 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1972;0;0;0
68;2;0;20250703;2;null;null;37124;8; 60,928 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1957;0;0;0
63;1;0;20250703;3;4;Multipoliza;17485;8; 15,175 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1962;0;0;0
51;2;0;20250704;3;6;Multipoliza;30343;2; 2,023 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1974;0;0;0
63;1;0;20250711;3;4;Multipoliza;23047;8; 2,022 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1962;0;0;0
53;1;0;20250711;4;4;Multipoliza;25546;7; 6,830 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1972;0;0;0
69;1;0;20250718;4;4;Multipoliza;31160;8; 25,269 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1956;0;0;0
65;2;0;20250718;1;null;null;27968;6; 27,839 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1960;0;0;0
46;1;0;20250728;3;4;Multipoliza;30343;4; 2,017 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1979;0;0;0
87;2;20250729;20250729;10;6;Monopoliza;28657;9; 100,015 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1938;2025;0;1
27;1;0;20250804;16;null;null;30343;6; 30,293 ;2.7;0;null;0;0;Sin Rescates Parciales;2025;1998;0;0;0
